Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Daily_Return,Volatility,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,DailySentiment,SentimentCount,Future_Close,Future_Return,Movement
2023-08-23,426.46716760767646,426.51395898651043,419.9147748656635,421.646484375,8445029,418.4451538085938,420.6402099609375,422.4576486758843,426.22891367125595,-3.7712649953716664,-3.1303967937765127,40.676338789310975,-0.008365351289848832,0.011097785270886087,425.2034606933594,0.014403691412789632,419.1659240722656,0.013925126993204362,413.4091491699219,0.0014738307438164622,421.45928955078125,0.0023375381246175664,0.0,0,422.06768798828125,0.0009989496625486954,Neutral
2023-08-24,421.78688258593724,424.50143955120143,420.5699925213946,422.06768798828125,6088274,420.2985412597656,419.9147644042969,422.3976547239452,425.92067334792773,-3.523018623982523,-3.2089211598177156,44.652103170922125,0.0009989496625486538,0.009749233667238863,421.646484375,-0.008365351289848832,425.2034606933594,0.014403691412789632,419.1659240722656,0.013925126993204362,412.8007507324219,-0.02054418785640766,0.0,0,415.0004577636719,-0.016744305299214463,Neutral
2023-08-25,422.0676695535835,422.1612808723312,413.7835677522795,415.0004577636719,9270988,420.61680297851564,419.12847900390625,421.2596244223623,425.11176512723927,-3.8521407048769447,-3.3375650688295617,39.37728358114487,-0.016744305299214446,0.009859355362701555,422.06768798828125,0.0009989496625486538,421.646484375,-0.008365351289848832,425.2034606933594,0.014403691412789632,413.4091491699219,0.0014738307438164622,0.0,0,413.17510986328125,-0.004398423823980686,Neutral
2023-08-28,416.54491715348564,418.27662645488425,412.8006931790723,413.17510986328125,6910750,419.41864013671875,418.4404724121094,420.01585295173226,424.22756503770506,-4.211712085972806,-3.5123944722582108,38.05307079144562,-0.004398423823980702,0.00960034543963795,415.0004577636719,-0.016744305299214446,422.06768798828125,0.0009989496625486538,421.646484375,-0.008365351289848832,419.1659240722656,0.013925126993204362,0.0,0,411.95831298828125,-0.0029449907459397433,Neutral
2023-08-29,414.62607870090983,415.60892622158894,411.11586817538966,411.95831298828125,9480003,416.7696105957031,417.5886627197266,418.77623141889177,423.31872831354184,-4.542496894650071,-3.7184149567365834,38.91402661530545,-0.0029449907459397906,0.00957537289426791,413.17510986328125,-0.004398423823980702,415.0004577636719,-0.016744305299214446,422.06768798828125,0.0009989496625486538,425.2034606933594,0.014403691412789632,0.0,0,414.4856262207031,0.006134876157951856,Neutral
2023-08-30,412.8007366811237,415.608904957866,412.33270863499996,414.4856262207031,7364924,415.3374389648437,416.89129638671875,418.1161383114773,422.6644222956521,-4.548283984174816,-3.884388762224231,34.65628019979283,0.00613487615795183,0.009780647643770264,411.95831298828125,-0.0029449907459397906,413.17510986328125,-0.004398423823980702,415.0004577636719,-0.016744305299214446,421.646484375,-0.008365351289848832,0.0,0,411.5838623046875,-0.007000879481573407,Neutral
2023-08-31,414.6728358859502,416.45133669231853,408.214054764842,411.5838623046875,19900312,413.240673828125,416.7696075439453,417.1111727719701,421.8436375662027,-4.732464794232612,-4.054003968625908,37.408554844608815,-0.007000879481573352,0.009675315290329174,414.4856262207031,0.00613487615795183,411.95831298828125,-0.0029449907459397906,413.17510986328125,-0.004398423823980702,422.06768798828125,0.0009989496625486538,0.0,0,412.8475341796875,0.003070265845516869,Neutral
2023-09-01,411.86468669472305,416.5449672253449,410.2733798878455,412.8475341796875,11438624,412.8100891113281,416.71344604492185,416.45522837315673,421.1772576522805,-4.722029279123774,-4.187609030725481,41.6666313826942,0.0030702658455168397,0.009614255626873557,411.5838623046875,-0.007000879481573352,414.4856262207031,0.00613487615795183,411.95831298828125,-0.0029449907459397906,415.0004577636719,-0.016744305299214446,0.0,0,409.5245666503906,-0.008048897605503412,Neutral
2023-09-04,415.0005008548349,415.0005008548349,408.7289132076651,409.5245666503906,13604608,412.07998046875,415.7493103027344,415.3889727234996,420.3140930947095,-4.925120371209914,-4.335111298822368,38.13384580182759,-0.008048897605503424,0.009720521139282,412.8475341796875,0.0030702658455168397,411.5838623046875,-0.007000879481573352,414.4856262207031,0.00613487615795183,413.17510986328125,-0.004398423823980702,0.0,0,414.7664489746094,0.012799921545839086,Neutral
2023-09-05,410.83500206699324,416.0769217550934,410.4605853534498,414.7664489746094,8378915,412.6416076660156,414.7056091308594,415.29319983905486,419.9031554964736,-4.609955657418709,-4.390080170541636,43.361120579372866,0.012799921545838977,0.0102599265449374,409.5245666503906,-0.008048897605503424,412.8475341796875,0.0030702658455168397,411.5838623046875,-0.007000879481573352,411.95831298828125,-0.0029449907459397906,0.0,0,418.83831787109375,0.00981725717340662,Neutral
